team_id,fifa_code,team_name,confederation,qualification_status,qualification_method,qualification_date,group_name,seed_pot,api_provider,api_team_id,flag_url,notes
T-ALGERIA,ALG,Algeria,CAF,QUALIFIED,Qualified,,Group J,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-ARGENTINA,ARG,Argentina,CONMEBOL,QUALIFIED,Qualified,,Group J,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-AUSTRALIA,AUS,Australia,AFC,QUALIFIED,Qualified,,Group D,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-AUSTRIA,AUS,Austria,UEFA,QUALIFIED,Qualified,,Group J,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-BELGIUM,BEL,Belgium,UEFA,QUALIFIED,Qualified,,Group G,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-BOSNIA-HERZEGOVINA,BIH,Bosnia & Herzegovina,UEFA,QUALIFIED,Qualified,,Group B,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-BRAZIL,BRA,Brazil,CONMEBOL,QUALIFIED,Qualified,,Group C,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-CANADA,CAN,Canada,CONCACAF,QUALIFIED,Host,,Group B,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-CAPE-VERDE,CV,Cape Verde,CAF,QUALIFIED,Qualified,,Group H,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-COLOMBIA,COL,Colombia,CONMEBOL,QUALIFIED,Qualified,,Group K,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-CROATIA,CRO,Croatia,UEFA,QUALIFIED,Qualified,,Group L,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-CURA-AO,CUW,Curaçao,CONCACAF,QUALIFIED,Qualified,,Group E,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-CZECH-REPUBLIC,CZE,Czech Republic,UEFA,QUALIFIED,Qualified,,Group A,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-DR-CONGO,COD,DR Congo,CAF,QUALIFIED,Qualified,,Group K,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-ECUADOR,ECU,Ecuador,CONMEBOL,QUALIFIED,Qualified,,Group E,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-EGYPT,EGY,Egypt,CAF,QUALIFIED,Qualified,,Group G,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-ENGLAND,ENG,England,UEFA,QUALIFIED,Qualified,,Group L,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-FRANCE,FRA,France,UEFA,QUALIFIED,Qualified,,Group I,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-GERMANY,GER,Germany,UEFA,QUALIFIED,Qualified,,Group E,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-GHANA,GHA,Ghana,CAF,QUALIFIED,Qualified,,Group L,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-HAITI,HAI,Haiti,CONCACAF,QUALIFIED,Qualified,,Group C,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-IRAN,IRA,Iran,AFC,QUALIFIED,Qualified,,Group G,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-IRAQ,IRA,Iraq,AFC,QUALIFIED,Qualified,,Group I,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-IVORY-COAST,CIV,Ivory Coast,CAF,QUALIFIED,Qualified,,Group E,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-JAPAN,JAP,Japan,AFC,QUALIFIED,Qualified,,Group F,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-JORDAN,JOR,Jordan,AFC,QUALIFIED,Qualified,,Group J,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-MEXICO,MEX,Mexico,CONCACAF,QUALIFIED,Host,,Group A,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-MOROCCO,MOR,Morocco,CAF,QUALIFIED,Qualified,,Group C,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-NETHERLANDS,NET,Netherlands,UEFA,QUALIFIED,Qualified,,Group F,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-NEW-ZEALAND,NZ,New Zealand,OFC,QUALIFIED,Qualified,,Group G,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-NORWAY,NOR,Norway,UEFA,QUALIFIED,Qualified,,Group I,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-PANAMA,PAN,Panama,CONCACAF,QUALIFIED,Qualified,,Group L,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-PARAGUAY,PAR,Paraguay,CONMEBOL,QUALIFIED,Qualified,,Group D,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-PORTUGAL,POR,Portugal,UEFA,QUALIFIED,Qualified,,Group K,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-QATAR,QAT,Qatar,AFC,QUALIFIED,Qualified,,Group B,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SAUDI-ARABIA,SA,Saudi Arabia,AFC,QUALIFIED,Qualified,,Group H,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SCOTLAND,SCO,Scotland,UEFA,QUALIFIED,Qualified,,Group C,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SENEGAL,SEN,Senegal,CAF,QUALIFIED,Qualified,,Group I,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SOUTH-AFRICA,RSA,South Africa,CAF,QUALIFIED,Qualified,,Group A,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SOUTH-KOREA,KOR,South Korea,AFC,QUALIFIED,Qualified,,Group A,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SPAIN,SPA,Spain,UEFA,QUALIFIED,Qualified,,Group H,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SWEDEN,SWE,Sweden,UEFA,QUALIFIED,Qualified,,Group F,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-SWITZERLAND,SWI,Switzerland,UEFA,QUALIFIED,Qualified,,Group B,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-TUNISIA,TUN,Tunisia,CAF,QUALIFIED,Qualified,,Group F,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-TURKEY,TUR,Turkey,UEFA,QUALIFIED,Qualified,,Group D,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-USA,USA,USA,CONCACAF,QUALIFIED,Host,,Group D,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-URUGUAY,URU,Uruguay,CONMEBOL,QUALIFIED,Qualified,,Group H,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
T-UZBEKISTAN,UZB,Uzbekistan,AFC,QUALIFIED,Qualified,,Group K,,openfootball/worldcup.json,,,Imported from https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json
